action1,action2,action3,action4,action5,action6,action7,action8
4.114957451820373535e-01,-5.446914434432983398e-01,-2.081757336854934692e-01,-1.461260914802551270e-01,-9.014785885810852051e-01,8.627839088439941406e-01,7.507961988449096680e-01,3.199226856231689453e-01
2.603269815444946289e-01,-2.490894496440887451e-01,-6.981572136282920837e-03,-8.995050787925720215e-01,5.883920192718505859e-01,8.787952661514282227e-01,9.434467554092407227e-01,3.995496034622192383e-01
-4.383207857608795166e-01,-5.106830596923828125e-01,3.237420022487640381e-01,-6.260987520217895508e-01,2.867496311664581299e-01,6.721474528312683105e-01,8.497705459594726562e-01,2.535941600799560547e-01
2.500560879707336426e-01,-1.613031178712844849e-01,1.897262632846832275e-01,-6.579598188400268555e-01,6.462029218673706055e-01,3.919827044010162354e-01,7.513810992240905762e-01,6.933372020721435547e-01
-9.912288784980773926e-01,8.080881237983703613e-01,-8.337242901325225830e-02,-7.220093607902526855e-01,6.299248933792114258e-01,1.983754485845565796e-01,4.447656571865081787e-01,6.514052152633666992e-01
-5.238711237907409668e-01,-1.623584777116775513e-01,-4.343992173671722412e-01,-2.921173274517059326e-01,-1.001118645071983337e-01,5.753608942031860352e-01,2.930245399475097656e-01,6.099743843078613281e-01
2.458631806075572968e-02,-6.187371015548706055e-01,-3.591308593750000000e-01,4.217511415481567383e-02,-4.359570741653442383e-01,2.523458898067474365e-01,-1.298562139272689819e-01,3.262542784214019775e-01
8.448451757431030273e-01,-6.632945537567138672e-01,1.644576191902160645e-01,2.423547059297561646e-01,-4.714571535587310791e-01,-8.121315389871597290e-02,3.118712604045867920e-01,4.894339740276336670e-01
9.794240593910217285e-01,-1.137597709894180298e-01,2.890581190586090088e-01,-9.195879697799682617e-01,-8.606218099594116211e-01,9.127566814422607422e-01,7.808271646499633789e-01,3.461056947708129883e-01
-9.175411462783813477e-01,-1.562467962503433228e-01,6.576317548751831055e-01,-1.525596622377634048e-02,3.124977946281433105e-01,8.050035238265991211e-01,9.249538779258728027e-01,7.714583873748779297e-01
6.975406408309936523e-01,-6.381878852844238281e-01,-5.930970907211303711e-01,-6.631594896316528320e-01,-1.244198158383369446e-01,8.218815922737121582e-01,5.573019981384277344e-01,2.101984471082687378e-01
2.960232794284820557e-01,-1.969616264104843140e-01,3.374789059162139893e-01,-6.603683233261108398e-01,-6.647541522979736328e-01,7.649253010749816895e-01,7.568893432617187500e-01,7.605068087577819824e-01
2.994387149810791016e-01,-1.878310367465019226e-02,1.139676384627819061e-02,-6.540979146957397461e-01,1.805437654256820679e-01,3.418211340904235840e-01,7.739063501358032227e-01,6.957197189331054688e-01
-7.655345201492309570e-01,3.682493269443511963e-01,-2.782321870326995850e-01,-7.487767934799194336e-01,9.240581095218658447e-02,3.672291934490203857e-01,7.271194458007812500e-01,6.672209501266479492e-01
-9.375576376914978027e-01,-7.291456311941146851e-02,-5.447344183921813965e-01,-7.255612611770629883e-01,9.481155276298522949e-01,-9.159509837627410889e-02,5.622509717941284180e-01,2.763780951499938965e-01
-9.363119602203369141e-01,-3.972120583057403564e-01,-3.774400055408477783e-01,-8.365955352783203125e-01,7.268905043601989746e-01,2.766722142696380615e-01,1.849001348018646240e-01,4.611276686191558838e-01
-4.677171111106872559e-01,3.129700943827629089e-02,7.821975946426391602e-01,-9.246240556240081787e-02,-9.527040123939514160e-01,-6.875450909137725830e-02,-2.982520759105682373e-01,5.281056743115186691e-03
8.632873296737670898e-01,-4.221402406692504883e-01,-5.580771565437316895e-01,-5.101526379585266113e-01,-7.239786386489868164e-01,6.868518590927124023e-01,3.701041936874389648e-01,3.537760972976684570e-01
-4.872882962226867676e-01,-4.893971383571624756e-01,-2.420974522829055786e-01,-6.317100524902343750e-01,7.549499273300170898e-01,4.966508150100708008e-01,5.535086393356323242e-01,7.024227827787399292e-02
6.164506450295448303e-02,-3.282992243766784668e-01,1.537835747003555298e-01,-2.746874988079071045e-01,-3.542678952217102051e-01,3.521126508712768555e-01,2.708950936794281006e-01,5.312193036079406738e-01
1.033036559820175171e-01,-3.389331400394439697e-01,-3.791835606098175049e-01,-5.615581274032592773e-01,2.000181823968887329e-01,4.085213243961334229e-01,2.342900037765502930e-01,3.089801669120788574e-01
-4.785898327827453613e-02,-2.008991837501525879e-01,3.348538577556610107e-01,-5.433980822563171387e-01,-7.231782376766204834e-02,3.007005453109741211e-01,3.900517225265502930e-01,4.278534948825836182e-01
-3.880755007266998291e-01,-9.028867632150650024e-02,2.317190468311309814e-01,-6.748332977294921875e-01,-4.621531069278717041e-01,6.780774593353271484e-01,6.051925420761108398e-01,6.603994369506835938e-01
1.324514299631118774e-01,2.644211053848266602e-04,-1.110314056277275085e-01,-5.948902964591979980e-01,7.255719900131225586e-01,3.467831015586853027e-01,5.775923728942871094e-01,6.259385347366333008e-01
-9.263826012611389160e-01,6.256922483444213867e-01,-1.182424575090408325e-01,-7.737770676612854004e-01,5.634421110153198242e-01,3.692593872547149658e-01,6.535291671752929688e-01,6.198073029518127441e-01
-9.795608520507812500e-01,-4.834287464618682861e-01,7.919101044535636902e-03,-7.786030173301696777e-01,4.499645829200744629e-01,2.797115221619606018e-02,3.259299993515014648e-01,4.316026270389556885e-01
-8.220540285110473633e-01,-5.957834124565124512e-01,-5.707423686981201172e-01,-6.961678862571716309e-01,1.144975200295448303e-01,-7.509344071149826050e-02,3.585216030478477478e-02,3.235112130641937256e-01
7.822203636169433594e-01,-1.413605213165283203e-01,3.548911511898040771e-01,-7.437337636947631836e-01,-8.873705863952636719e-01,3.969774842262268066e-01,6.785416007041931152e-01,4.670888781547546387e-01
-5.182844996452331543e-01,-4.095919132232666016e-01,-3.149342164397239685e-02,-5.286374092102050781e-01,6.902797818183898926e-01,1.694647222757339478e-01,3.441475331783294678e-01,1.844358593225479126e-01
2.854481935501098633e-01,-4.519488513469696045e-01,5.245472788810729980e-01,-2.910846769809722900e-01,-4.097979962825775146e-01,3.204079568386077881e-01,5.503928661346435547e-01,5.863208174705505371e-01
-4.758732765913009644e-02,-5.056040883064270020e-01,-2.972684241831302643e-02,-4.956282973289489746e-01,2.385345697402954102e-01,5.585704445838928223e-01,5.515685677528381348e-01,5.183763504028320312e-01
2.825655341148376465e-01,-4.019831418991088867e-01,4.200124368071556091e-02,-4.480873048305511475e-01,-4.279857277870178223e-01,5.999326705932617188e-01,5.710197091102600098e-01,6.316670179367065430e-01
-1.934432089328765869e-01,-5.192211270332336426e-01,-8.681586012244224548e-03,-6.391807794570922852e-01,3.563140928745269775e-01,5.410779714584350586e-01,6.226619482040405273e-01,4.112796187400817871e-01
5.486162304878234863e-01,-5.975481867790222168e-02,-5.400828644633293152e-02,-7.082519531250000000e-01,-4.969745576381683350e-01,5.998854637145996094e-01,7.846673727035522461e-01,7.449984550476074219e-01
5.258094668388366699e-01,1.096268743276596069e-02,1.224500387907028198e-01,-7.735008001327514648e-01,-2.025933265686035156e-01,5.723278522491455078e-01,7.459766268730163574e-01,7.068285942077636719e-01
1.951514780521392822e-01,1.243117451667785645e-02,1.327612400054931641e-01,-8.167761564254760742e-01,1.566670089960098267e-01,5.757486820220947266e-01,7.495957612991333008e-01,7.249621152877807617e-01
-3.598721325397491455e-01,2.331236749887466431e-01,8.628988265991210938e-02,-8.610286712646484375e-01,4.163631498813629150e-01,5.477770566940307617e-01,7.924546003341674805e-01,7.527478337287902832e-01
-9.963355064392089844e-01,3.508352935314178467e-01,-3.533160388469696045e-01,-5.508668422698974609e-01,7.914121747016906738e-01,1.169545352458953857e-01,6.658627837896347046e-02,4.028244614601135254e-01
1.233440414071083069e-01,-3.202335238456726074e-01,-2.029119879007339478e-01,-3.651271462440490723e-01,-7.127019166946411133e-01,4.915059208869934082e-01,-1.621659696102142334e-01,2.367282360792160034e-01
1.655871868133544922e-01,-4.536514282226562500e-01,-1.051991358399391174e-01,4.583727121353149414e-01,-1.909490227699279785e-01,-8.939842134714126587e-02,1.593838632106781006e-01,2.910448610782623291e-01
9.968373775482177734e-01,-5.234431028366088867e-01,5.467396974563598633e-01,-8.134179115295410156e-01,-9.927514195442199707e-01,8.645018339157104492e-01,6.434087753295898438e-01,4.387693107128143311e-01
